Sr No,timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude,FIR
1717,28-02-2018 03:30,0,0,0,1,0,0,22.736766,75.908579,FIR1615$
1718,28-02-2018 01:30,1,0,0,0,0,0,22.722247,75.915294,FIR1784$
1719,28-02-2018 19:00,0,0,0,1,0,0,22.722247,75.915294,FIR1502$
1720,28-02-2018 14:10,0,0,0,1,0,0,22.741662,75.869137,FIR1585$
1721,28-02-2018 14:25,0,0,0,1,0,0,22.741662,75.869137,FIR847$
1722,28-02-2018 22:00,0,,0,0,0,0,22.746877,75.883168,FIR220$
1723,28-02-2018 22:00,0,0,0,1,0,0,22.744534,75.931421,FIR1678$
1724,28-02-2018 22:10,0,0,0,1,0,0,22.765772,75.870461,FIR86$
1725,28-02-2018 12:00,1,0,0,0,0,0,22.767806,75.875984,FIR845$
1726,28-02-2018 13:30,0,0,0,0,,0,22.71521,75.870047,FIR361$
1727,28-02-2018 03:00,0,0,0,1,0,0,22.698342,75.910757,FIR139$
1728,28-02-2018 23:50,0,0,0,1,0,0,22.694114,75.904223,FIR1562$
1729,28-02-2018 19:00,1,0,0,0,0,0,22.711535,75.860105,FIR1208$
1730,28-02-2018 11:55,0,0,1,0,0,0,22.715121,75.856601,FIR380$
1731,28-02-2018 11:00,0,0,0,1,0,0,22.719961,75.843657,FIR52$
1732,28-02-2018 18:00,0,0,1,0,0,0,22.719961,75.843657,FIR908$
1733,28-02-2018 01:00,0,0,0,1,0,0,22.727249,75.853214,FIR340$
1734,28-02-2018 00:00,1,0,0,0,0,0,22.72692,75.85158,FIR1664$
1735,28-02-2018 22:10,0,0,,0,0,0,22.72692,75.85158,FIR1758$
1736,28-02-2018 22:30,0,1,0,0,0,0,22.72692,75.85158,FIR1496$
1737,28-02-2018 08:40,0,0,1,0,0,0,22.723873,75.828416,FIR1657$
1738,28-02-2018 15:40,0,0,0,1,0,0,22.723873,75.828416,FIR467$
1739,28-02-2018 15:50,0,0,0,1,0,0,22.723873,75.828416,FIR772$
1740,28-02-2018 00:00,1,0,0,0,0,0,22.723873,75.828416,FIR666$
1741,28-02-2018 15:00,0,0,0,1,0,0,22.670918,75.827524,FIR1145$
1742,28-02-2018 15:30,0,0,0,1,0,0,22.670918,75.827524,FIR1188$
1743,28-02-2018 19:05,0,0,0,1,0,0,22.670918,75.827524,FIR1617$
1744,28-02-2018 19:25,0,0,0,1,0,0,22.670918,75.827524,FIR1520$
1745,28-02-2018 19:50,0,0,0,1,0,0,22.670918,75.827524,FIR90$
1746,28-02-2018 19:20,0,0,0,1,0,0,22.670918,75.827524,FIR1427$
1747,28-02-2018 13:00,0,0,0,1,0,0,22.74359,75.793494,FIR153$
1748,28-02-2018 16:00,0,0,0,1,0,0,22.74359,75.793494,FIR1345$
1749,28-02-2018 21:45,0,0,0,1,0,0,22.709422,75.84624,FIR1242$
1750,28-02-2018 23:00,0,0,0,,0,0,22.709422,75.84624,FIR771$
1751,28-02-2018 19:30,0,0,1,0,0,0,22.683833,75.829296,FIR1077$
1752,28-02-2018 17:00,0,1,0,0,0,0,22.683833,75.829296,FIR210$
1753,28-02-2018 19:45,0,,0,0,0,0,22.683833,75.829296,FIR150$
1754,28-02-2018 19:00,0,0,0,1,0,0,22.708925,75.853507,FIR1774$
1755,28-02-2018 20:00,0,0,0,1,0,0,22.708925,75.853507,FIR444$
1756,28-02-2018 17:00,0,0,1,0,0,0,22.705097,75.888405,FIR1647$
1757,28-02-2018 20:30,0,0,0,1,0,0,22.692111,75.867548,FIR1431$
1758,28-02-2018 15:50,0,1,0,0,0,0,22.693141,75.827293,FIR330$
1759,01-03-2018 12:00,1,0,0,0,0,0,22.66215,75.9035,FIR292$
1760,01-03-2018 14:30,1,0,0,0,0,0,22.66215,75.9035,FIR945$
1761,03-01-2018 16:30,1,0,0,0,0,0,22.66215,75.9035,FIR478$
1762,01-03-2018 22:30,1,0,0,0,0,0,22.7462,75.8682,FIR1148$
1763,01-03-2018 18:35,1,0,0,0,0,0,22.7278,75.8046,FIR652$
1764,01-03-2018 16:40,1,0,0,0,0,0,22.713,75.8236,FIR1575$
1765,01-03-2018 01:45,1,0,0,0,0,0,22.6709,75.8275,FIR1070$
